# Constructed from biom file
#OTU ID	WT1_R3TK43_d0_STOOL	WT1_R3TK43_d7_STOOL	WT2_L1TK28_d0_STOOL	WT2_L1TK28_D7_STOOL	WT3_L1TK41_d0_STOOL	WT3_L1TK41_d7_STOOL	WT4_R1TK44_d0_STOOL	WT4_R1TK44_d7_STOOL	KO1_R3L1TK43_d0_STOOL	KO1_R3L1TK43_d7_STOOL	KO2_R1R3TK28_d0_STOOL	KO2_R1R3TK28_d7_STOOL	KO3_L3TK40_d0_STOOL	KO3_L3TK40_d7_STOOL	KO4_TK44L1_d0_STOOL	KO4_TK44L1_d7_STOOL	taxonomy
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Marvinbryantia	27.0	11.0	0.0	0.0	14.0	0.0	27.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia	37.0	17.0	267.0	202.0	188.0	78.0	300.0	67.0	171.0	0.0	419.0	201.0	49.0	373.0	387.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Tyzzerella	156.0	61.0	152.0	195.0	92.0	24.0	441.0	77.0	37.0	12.0	380.0	146.0	149.0	1098.0	154.0	110.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__UC5-1-2E3	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__	58.0	21.0	104.0	111.0	67.0	20.0	121.0	23.0	129.0	0.0	211.0	55.0	70.0	121.0	149.0	9.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__Peptococcus	9.0	4.0	26.0	15.0	22.0	12.0	61.0	10.0	18.0	0.0	53.0	10.0	21.0	37.0	34.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Romboutsia	321.0	2286.0	2271.0	1670.0	557.0	3706.0	2357.0	249.0	0.0	5023.0	2801.0	5351.0	1808.0	610.0	837.0	5518.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__	153.0	62.0	567.0	189.0	78.0	22.0	547.0	58.0	466.0	8.0	1080.0	170.0	82.0	602.0	484.0	12.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Anaerotruncus	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	18.0	0.0	0.0	0.0	0.0	12.0	10.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Angelakisella	60.0	6.0	106.0	78.0	57.0	42.0	184.0	116.0	77.0	14.0	120.0	58.0	7.0	1292.0	180.0	39.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Butyricicoccus	6.0	0.0	12.0	10.0	0.0	4.0	17.0	0.0	0.0	0.0	151.0	40.0	0.0	0.0	13.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Candidatus_Soleaferrea	46.0	11.0	108.0	63.0	39.0	13.0	223.0	20.0	86.0	0.0	125.0	42.0	28.0	30.0	113.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Caproiciproducens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Flavonifractor	57.0	0.0	139.0	86.0	52.0	23.0	390.0	43.0	65.0	0.0	89.0	36.0	0.0	170.0	55.0	59.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__GCA-900066225	19.0	7.0	68.0	26.0	0.0	0.0	47.0	0.0	10.0	0.0	59.0	18.0	20.0	64.0	48.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Harryflintia	12.0	0.0	30.0	24.0	11.0	0.0	24.0	0.0	11.0	0.0	47.0	15.0	11.0	22.0	36.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Intestinimonas	103.0	68.0	662.0	206.0	228.0	35.0	607.0	61.0	444.0	0.0	785.0	156.0	89.0	289.0	251.0	0.0
