#OTU_ID	WT1_R3TK43_d7_COLON	WT2_L1TK28_D7_COLON	WT3_L1TK41_d7_COLON	WT4_R1TK44_d7_COLON	KO1_R3L1TK43_d7_COLON	KO2_R1R3TK28_d7_COLON	KO3_L3TK40_d7_COLON	KO4_TK44L1_d7_COLON	WT1_R3TK43_d0_STOOL	WT1_R3TK43_d7_STOOL	WT2_L1TK28_d0_STOOL	WT2_L1TK28_D7_STOOL	WT3_L1TK41_d0_STOOL	WT3_L1TK41_d7_STOOL	WT4_R1TK44_d0_STOOL	WT4_R1TK44_d7_STOOL	KO1_R3L1TK43_d0_STOOL	KO1_R3L1TK43_d7_STOOL	KO2_R1R3TK28_d0_STOOL	KO2_R1R3TK28_d7_STOOL	KO3_L3TK40_d0_STOOL	KO3_L3TK40_d7_STOOL	KO4_TK44L1_d0_STOOL	KO4_TK44L1_d7_STOOL	taxonomy
4b24c1cb2f2ba2f717191e0d550d9318	1025	980	138	975	0	0	0	0	82	371	1954	1144	1391	630	1403	765	1508	427	1996	1519	583	148	432	592	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__reuteri
ba85e54a7ac807d055da09174df14de9	1186	1073	91	303	0	0	0	200	582	53	876	463	956	372	2227	1105	1022	0	1107	333	1122	0	2042	2739	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
c3366944f248e2e5500c46857a0cdeb0	2833	200	117	506	88	278	0	67	1666	1815	335	372	615	62	1228	548	592	7	550	2649	1541	141	276	188	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
bbd60d25fb8aee0b626a1469e2fe1960	1035	1267	1020	941	244	4451	89	127	116	219	910	818	518	483	722	711	691	0	676	202	353	369	506	157	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Odoribacteraceae]; g__Odoribacter; s__
3ac764a90851a3cbee8bb208560836f1	354	757	0	214	11	123	44	42	290	322	1024	1184	600	407	726	291	589	91	1654	461	2894	1663	1370	1307	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
b2ccfae5c7ecf6935232dbc0ddea733f	417	614	172	778	192	284	0	1072	153	1073	498	348	136	818	968	123	0	2304	599	1088	608	226	410	2506	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae; g__; s__
290aeb24df55486dc22694ae777833b0	6743	118	3146	0	16	0	0	0	55	525	225	92	0	0	0	0	0	0	392	87	3718	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
03259c8b6edc6c05983e536e4134a2c6	973	842	142	0	0	254	0	0	1543	854	1703	442	1251	482	0	0	906	2518	2355	579	260	219	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__; s__
db1c91e8e20653a8455d7d516b380435	89	1048	29	84	0	16	11	0	244	351	2173	1474	278	343	417	198	928	0	4570	848	842	269	572	152	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
436e1b714c4a3a6a89dcf536865569ec	263	502	30	595	7	0	3	29	662	1194	1462	902	2078	1353	16	952	302	722	1002	1678	648	81	8	257	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; s__pseudolongum
f9161b50a0b9cb2fefd017485122a2a0	255	520	29	191	0	85	32	29	250	263	959	1113	599	343	805	317	536	77	1516	384	2436	1164	1517	1384	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
e68d532329e50baf3185b505baaad2b6	2063	139	91	485	67	171	0	0	1425	1567	243	265	586	75	1164	563	582	0	453	1955	1560	119	205	145	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
ab39ae650ac9b96c925d9c424eea911f	314	3051	0	1586	7	0	0	5	168	7	1121	927	0	0	1028	409	445	0	1973	359	2478	87	0	80	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
d1f379b3d71954e39a2020073c46db8a	5	83	13717	0	21	2	0	0	0	0	0	0	110	19	2	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Deferribacteres; c__Deferribacteres; o__Deferribacterales; f__Deferribacteraceae; g__Mucispirillum; s__schaedleri
89604cda457b0eefb96f09408c21c95d	661	916	102	223	90	1990	228	305	107	528	485	178	706	635	469	311	287	189	858	381	877	1733	489	967	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__
5f6cc1e67c37f2d4448944ecb7b2f072	159	157	257	621	63	135	26	69	231	1325	309	371	1267	1150	1365	698	963	55	206	717	882	1206	726	790	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
74b09024b7c7795c40c4181277d2f568	330	198	1791	0	300	98	8520	0	0	149	77	86	655	124	0	0	0	0	622	191	53	446	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__[Ruminococcus]; s__gnavus
559951dd595d70d8580a481a53b6abce	691	893	131	186	77	2105	194	301	109	495	457	160	705	720	423	291	245	174	918	437	865	1561	439	928	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; g__; s__
d54dfbd0bbfea7fb7befd74ea459438c	623	852	117	229	85	2049	199	281	128	523	400	157	683	772	442	273	268	174	835	390	921	1581	458	908	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__
3b6cf19eb1629b4ee3b3fef44d83a1b4	1892	128	90	346	62	172	0	0	1384	1427	249	257	510	67	1008	417	481	0	386	1943	1251	148	222	171	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
db66ada6cc798597c81fae29f1b7e661	621	174	170	617	3992	194	773	1062	506	406	185	109	72	151	323	393	316	95	262	343	127	901	212	487	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__; s__
debaa00ad5d59c1adc0515322dde6ace	250	1510	133	129	4	30	0	17	286	410	1070	1160	756	985	670	281	450	10	1877	724	553	264	745	222	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
8bc34fe46526c4f4dff77ea36f22790c	1089	536	131	0	10	153	0	27	1313	754	1025	269	1123	461	0	0	720	2043	1415	365	172	179	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__; s__
c38e8b25ca15d5b16c67c29e7b077728	0	0	0	0	4508	0	2533	3835	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus; s__
4086daa6053374a444877e9030bd6291	1452	44	36	121	0	738	10	9	131	367	947	2807	301	131	1688	292	17	16	636	345	71	372	151	72	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
aa62a251491b163f90daccdd9e6c367c	127	259	90	42	109	258	12	29	535	766	707	523	716	627	1020	295	642	20	1125	467	719	599	660	384	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
5bd89d0158d905811d2a14fd0d67e2a3	88	94	136	593	61	97	0	64	185	1021	168	216	742	668	1356	698	857	67	172	505	519	691	828	773	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
254a914e65835005ebb309424c41a744	698	751	562	225	58	1024	27	125	412	438	466	193	795	542	270	152	424	25	876	247	373	416	368	582	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__; s__
7d895971c37f0fb4d8b5dca14812f4df	259	141	577	960	342	1950	3451	281	27	0	0	34	42	32	184	116	27	14	24	40	0	1259	180	39	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__
5e368b749b7679faa78fd141131d34b6	8	11	5	0	5341	539	507	0	278	130	0	0	206	11	0	0	41	36	0	0	50	2587	0	0	k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae; g__Akkermansia; s__muciniphila
becd83348b32ee15a3fab12fb7d87853	252	169	164	314	355	484	481	0	72	235	357	669	483	738	404	313	151	191	773	677	259	826	24	1310	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
a9bc0b84bd5bf7fc09add8cd6500c913	77	410	73	0	3959	1825	1071	0	21	107	229	384	204	73	0	0	97	9	335	116	418	278	0	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__AF12; s__
f60e33dd4b489dea4069524a314c8fa2	0	1114	2023	216	18	1405	0	621	0	17	446	588	458	224	91	67	206	12	519	221	45	66	580	341	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__; s__
9d7e7ca67669bf0896a302d9f45fa32a	527	408	77	227	44	610	29	19	453	382	439	450	414	324	708	402	454	90	671	397	407	267	252	1273	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
6489b2600edc38e24dbe4c952a6b133b	581	225	0	694	113	0	0	108	750	603	276	117	995	543	0	676	253	1120	358	288	566	456	0	509	k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Allobaculum; s__
9280b0090f4ae742b26854be333b45d9	0	0	0	0	33	6	0	8608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__minor
c66c660bcf0361e279e66d4418728ac0	1617	226	0	659	0	0	0	0	588	971	76	148	0	0	660	703	351	0	288	531	1414	111	0	102	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
bef81de72cd884300d04be1991d4d1cc	79	90	65	570	59	0	0	73	223	940	173	194	343	280	1404	754	909	76	97	247	101	198	827	793	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
9cbe894bb7096684cd92e12ee334ecff	164	1594	0	959	0	3	0	0	92	0	751	606	0	0	665	266	269	0	1297	226	1413	64	0	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
ed792d72c0433537562b8faae098676f	664	296	65	561	0	77	33	30	164	670	183	515	281	140	597	517	531	71	373	324	1338	314	90	485	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
950e5b4e5a48e925b8bf9f3557c0f2d1	42	18	946	5127	5	0	0	7	252	44	0	0	39	17	811	300	394	0	0	0	76	0	86	26	k__Bacteria; p__Tenericutes; c__Mollicutes; o__Anaeroplasmatales; f__Anaeroplasmataceae; g__Anaeroplasma; s__
5316905aef100cce723fe97b279ed0aa	1122	637	0	0	0	51	0	0	924	845	675	248	0	0	0	0	0	0	1285	351	476	1474	0	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
f386b2051cede7713f25d560fc29c82d	674	336	63	538	0	70	0	0	157	654	179	515	255	142	545	476	545	0	364	297	1323	345	105	521	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
80c2d4681f1c4a4925bf87be73602300	0	1701	0	1594	0	19	0	0	0	0	839	823	0	0	1486	486	0	0	1007	45	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Coprococcus; s__
67b357619ce050729d1ef454d95b42f3	861	12	205	324	109	0	10	25	861	576	0	0	459	594	495	335	688	17	0	0	1159	461	468	227	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__
c0a9ef878e921984f69630080017e879	1672	0	62	675	0	0	0	0	679	963	0	0	231	131	629	695	378	0	0	0	1524	127	0	141	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
10cd8d9b65a146f88ca21a811326c701	773	72	79	371	53	167	0	25	507	603	273	110	226	353	546	660	205	19	412	840	613	230	393	252	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
3395c0b87347a7b8f0b36608f56d9c82	78	135	604	246	0	201	88	8	117	0	892	546	125	22	1192	50	711	0	1348	221	96	647	184	6	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
5526996698fc8b6788fb682c3bdbe12f	292	293	1116	387	27	1094	165	0	28	37	1055	477	154	88	325	112	110	0	1088	247	52	151	128	27	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__
a9ce6c0ca97e9fa80a781f1c911e7f54	111	44	339	43	165	404	820	27	24	150	717	78	67	43	202	40	37	41	268	212	106	3370	74	97	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
8b7938c3970b297556587e16aeeac763	92	328	104	127	24	303	10	16	64	255	568	473	403	342	432	402	183	15	714	455	654	585	506	280	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
60abc2473f89cd1dcb667883014b93e2	861	626	662	146	0	121	0	36	15	93	575	955	0	0	689	183	193	0	1358	88	56	48	511	37	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
5f6a6ebe0998107e5e4ac91c06dc9cb3	211	134	140	46	1745	458	584	79	67	183	299	184	178	491	176	322	311	0	391	381	31	351	302	32	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__; s__
428a85b8268e2b0521457b5f98e1a2c0	441	643	329	238	12	542	0	0	63	67	955	384	70	47	713	167	231	0	1139	159	78	400	133	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__
9cdf8e7d17ee8dbbe1e46edb1248ba91	846	489	0	0	0	0	0	0	920	677	659	292	0	0	0	0	0	0	943	287	426	1241	0	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
119ca9586c2078bad077f91c5cd170b3	79	0	0	668	79	0	0	65	139	686	0	0	0	0	1230	690	753	51	0	160	87	228	883	739	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
e70a979b890b372f192f9642677d25b7	12	159	292	321	34	418	0	43	303	0	178	40	1054	888	861	554	138	0	420	433	166	18	0	34	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
85445401bddd6e714b5708ee3ffff5c6	0	0	358	0	0	0	0	0	0	0	0	0	3961	2079	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Allobaculum; s__
778b1d4be3618caadc3c03674f725534	0	487	90	1355	0	0	0	2	1050	0	405	65	0	0	649	38	1062	0	690	0	170	0	301	11	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
b43440733a72ad14bd8d59273c18dbce	641	0	0	1052	0	0	0	0	102	126	0	0	0	0	1570	178	71	0	0	0	782	232	1407	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
1f7a17beddad6cb993d2070930f61978	450	158	50	388	0	52	0	0	129	524	162	394	208	98	468	417	410	0	283	229	961	183	77	360	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
d937a191528fba528cae0ddb55a98038	0	578	121	0	11	88	0	0	383	168	711	575	339	178	172	0	99	0	1470	420	250	147	66	145	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
43259c02a069ff719504a2d0a9b4f0a2	74	207	0	0	447	1039	48	1008	297	92	240	193	357	84	131	0	213	0	342	274	169	62	281	336	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__ovatus
30d0c0397ccc0303b3408cd9080951d7	1767	0	49	94	0	0	0	0	0	0	146	113	0	70	647	220	0	0	143	149	0	2034	483	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
c82813a8179bd3ce6c40839b6a09678f	293	255	136	291	1130	590	187	34	116	61	148	195	92	24	336	77	37	12	380	146	149	871	154	110	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
5bff4f9b07f206dc00f4670b04ea8bf3	142	261	128	16	101	11	21	13	208	355	128	238	89	92	129	120	184	61	321	502	71	1962	492	103	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
27433cb15f12164ee77aecb494ba1136	286	191	899	1576	5	0	0	7	173	50	471	453	44	24	606	63	249	0	25	3	77	173	313	28	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
c171daa2ec9a2974e4a1124952499777	295	33	1	499	20	37	13	0	81	299	54	117	14	9	526	471	444	25	80	95	1420	295	117	476	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
1477f8008309d1f6ea64061f480626e4	89	319	17	60	133	21	0	6	90	233	354	674	114	151	257	55	290	12	733	424	395	478	162	281	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
d3f631a833de020c19cc414bf72b3f7e	91	47	583	414	0	218	0	0	157	37	187	131	38	45	503	118	321	0	1033	675	23	325	369	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
