# Constructed from biom file
#OTU ID	WT1_R3TK43_d7_COLON	WT2_L1TK28_D7_COLON	WT3_L1TK41_d7_COLON	WT4_R1TK44_d7_COLON	KO1_R3L1TK43_d7_COLON	KO2_R1R3TK28_d7_COLON	KO3_L3TK40_d7_COLON	KO4_TK44L1_d7_COLON	WT1_R3TK43_d0_STOOL	WT1_R3TK43_d7_STOOL	WT2_L1TK28_d0_STOOL	WT2_L1TK28_D7_STOOL	WT3_L1TK41_d0_STOOL	WT3_L1TK41_d7_STOOL	WT4_R1TK44_d0_STOOL	WT4_R1TK44_d7_STOOL	KO1_R3L1TK43_d0_STOOL	KO1_R3L1TK43_d7_STOOL	KO2_R1R3TK28_d0_STOOL	KO2_R1R3TK28_d7_STOOL	KO3_L3TK40_d0_STOOL	KO3_L3TK40_d7_STOOL	KO4_TK44L1_d0_STOOL	KO4_TK44L1_d7_STOOL	taxonomy
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_NK4A136_group	19058.0	3737.0	8092.0	2445.0	44.0	1487.0	10.0	45.0	433.0	1282.0	3852.0	5689.0	1073.0	565.0	7426.0	1996.0	327.0	16.0	5368.0	1565.0	4085.0	11383.0	4741.0	109.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-001	2823.0	0.0	292.0	3819.0	0.0	221.0	0.0	9.0	525.0	582.0	0.0	838.0	1830.0	244.0	7533.0	788.0	561.0	0.0	902.0	551.0	3713.0	983.0	6257.0	12.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-006	182.0	302.0	1157.0	645.0	23.0	307.0	219.0	17.0	355.0	0.0	1098.0	638.0	299.0	35.0	2059.0	74.0	974.0	0.0	3307.0	378.0	164.0	791.0	831.0	42.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Marvinbryantia	0.0	0.0	0.0	9.0	235.0	6.0	0.0	12.0	27.0	11.0	0.0	0.0	14.0	0.0	27.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia	344.0	202.0	1619.0	732.0	0.0	115.0	11.0	0.0	37.0	17.0	254.0	202.0	103.0	38.0	219.0	45.0	161.0	0.0	410.0	201.0	49.0	138.0	310.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Tyzzerella	293.0	255.0	136.0	291.0	1130.0	590.0	187.0	34.0	116.0	61.0	148.0	195.0	92.0	24.0	336.0	77.0	37.0	12.0	380.0	146.0	149.0	871.0	154.0	110.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__	112.0	70.0	225.0	159.0	23.0	223.0	6.0	0.0	44.0	21.0	94.0	111.0	67.0	20.0	121.0	23.0	117.0	0.0	183.0	55.0	70.0	121.0	149.0	9.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__Peptococcus	17.0	18.0	63.0	38.0	0.0	47.0	0.0	0.0	9.0	4.0	26.0	15.0	22.0	12.0	61.0	10.0	18.0	0.0	53.0	10.0	21.0	37.0	34.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Romboutsia	986.0	2563.0	857.0	1797.0	413.0	1420.0	65.0	2421.0	321.0	2286.0	2271.0	1670.0	557.0	3706.0	2357.0	249.0	0.0	5023.0	2801.0	5351.0	1690.0	610.0	837.0	5518.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__	130.0	135.0	419.0	77.0	48.0	323.0	182.0	0.0	119.0	62.0	256.0	171.0	40.0	22.0	219.0	22.0	381.0	8.0	619.0	170.0	82.0	602.0	223.0	12.0
